countyFIPS,PostalCode,StateFIPS,X2020.06.01,X2020.08.01,X2020.10.01,X2020.12.01,X2021.02.01,X2021.04.01,FIPSnumber,Percent.of.adults.with.less.than.a.high.school.diploma..2015.19,Percent.of.adults.with.a.high.school.diploma.only..2015.19,Percent.of.adults.completing.some.college.or.associate.s.degree..2015.19,Percent.of.adults.with.a.bachelor.s.degree.or.higher..2015.19,StateName,County,Rural_urban_continuum_code_2013,Civilian_labor_force_2019,Unemployment_rate_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Rural.urban_Continuum_Code_2003,PCTPOVALL_2019,PCTPOV017_2019,PCTPOV517_2019,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,votes_gop,votes_dem,total_votes,white,votingPop,gopPercent,demPercent,black,hispanic,CDPerThou.06.2020,CDPerThou.08.2020,CDPerThou.10.2020,CDPerThou.12.2020,CDPerThou.02.2021,CDPerThou.04.2021,PoliticsGroup
1001,AL,1,5,21,27,41,69,99,1001,11.5,33.6,28.4,26.6,Alabama,Autauga County AL,2,26172,2.7,58233,112.5,2,12.1,15.9,14.4,55869,27092,28777,20878,21729,5237,6000,121,145,286,370,26208,27990,20138,21077,884,787,740,652,19838,7503,27770,0.762623279,0.497055612,0.714368023,0.270183651,0.201131218,0.029909252,0.089495069,0.375879289,0.483273372,0.733859564,1.23503195,1.772002363,3
1019,AL,1,3,8,13,24,35,43,1019,18.4,40.3,28.6,12.8,Alabama,Cherokee County AL,6,11604,2.9,45982,88.8,8,15.9,23.3,21.6,26196,12926,13270,12033,12376,558,515,94,87,37,66,12697,13050,11833,12181,229,220,200,195,10583,1624,12301,0.931783478,0.469575508,0.860336558,0.132021787,0.040960452,0.017140021,0.114521301,0.305390136,0.496258971,0.916170408,1.336081845,1.64147198,3
1021,AL,1,1,6,30,39,79,109,1021,18.2,44.4,24.6,12.7,Alabama,Chilton County AL,1,19818,2.7,49692,96,1,16,23.1,21.2,44428,21800,22628,18965,19712,2247,2349,132,118,87,130,19810,20982,17235,18246,1990,1646,1730,1466,16085,3073,19310,0.870554605,0.434635815,0.832988089,0.159140342,0.103448276,0.081840281,0.022508328,0.135049968,0.675249842,0.877824795,1.778157918,2.453407761,3
1027,AL,1,2,5,9,24,50,54,1027,23.3,37.8,28.3,10.6,Alabama,Clay County AL,9,6101,3,40562,78.3,9,16.6,26,22.3,13235,6447,6788,5400,5615,867,957,30,45,19,19,6216,6584,5197,5437,231,204,203,178,5601,1267,6930,0.832262939,0.523611636,0.808225108,0.182828283,0.137816396,0.032867397,0.151114469,0.377786173,0.680015111,1.813373631,3.77786173,4.080090669,3
1033,AL,1,2,11,26,42,104,126,1033,14.8,37.8,29.2,18.1,Alabama,Colbert County AL,3,23646,3.7,46683,90.2,3,14.6,19.4,18.6,55241,26408,28833,21424,23016,4108,4851,195,187,152,222,25483,27969,20649,22286,925,864,775,730,19203,8343,27886,0.804474937,0.504806213,0.688625117,0.299182385,0.162180265,0.032385366,0.036204993,0.19912746,0.470664905,0.760304846,1.882659619,2.280914538,3
1035,AL,1,1,10,12,14,23,26,1035,15.7,51.1,20.4,12.8,Alabama,Conecuh County AL,7,4533,4,41539,80.2,9,22.2,34.7,33,12067,5758,6309,3103,3142,2524,3036,36,31,11,17,5608,6182,3011,3066,150,127,92,76,3442,2966,6441,0.51752714,0.533769785,0.53438907,0.460487502,0.460760752,0.022955167,0.082870639,0.828706389,0.994447667,1.160188945,1.906024695,2.154636612,2
1081,AL,1,33,43,61,66,128,166,1081,9.1,23.7,31.8,35.3,Alabama,Lee County AL,3,76580,2.7,54160,104.6,3,15.5,14.2,13.5,164542,80840,83702,58022,58389,17413,20325,323,274,3614,3246,77623,80828,55323,56041,3217,2874,2699,2348,42221,27860,71449,0.707485019,0.434229558,0.590924995,0.38992848,0.229351776,0.037017904,0.200556697,0.261331453,0.370726015,0.401113394,0.777916884,1.00886096,3
1087,AL,1,4,12,18,22,38,47,1087,18.2,30.2,31.2,20.4,Alabama,Macon County AL,6,7850,4.3,34281,66.2,6,29.3,39.2,39,18068,8218,9850,1579,1551,6442,8080,19,30,71,37,8030,9695,1476,1498,188,155,103,53,1541,7108,8723,0.173234448,0.482787248,0.176659406,0.814857274,0.803741421,0.018983839,0.221385876,0.664157627,0.99623644,1.217622316,2.103165818,2.601284038,1
1089,AL,1,4,30,78,150,287,489,1089,8.3,20.6,28.3,42.8,Alabama,Madison County AL,2,185219,2.5,68609,132.5,2,11.5,16.8,14.7,372909,182366,190543,128106,128722,43203,49506,1491,1507,4532,5446,172407,181150,119621,120916,9959,9393,8485,7806,102780,87286,194767,0.688714941,0.522290961,0.527707466,0.448156002,0.248610251,0.051894698,0.010726478,0.080448581,0.209166311,0.402242906,0.769624761,1.311311875,2
1095,AL,1,9,31,45,57,152,218,1095,18.4,31.1,31.1,19.4,Alabama,Marshall County AL,4,44085,2.5,48913,94.5,4,15.7,21.5,21.9,96774,47717,49057,44023,45791,1766,1312,572,502,287,396,40011,42491,37296,39953,7706,6566,6727,5838,33191,5943,39655,0.928079856,0.409769153,0.836994074,0.149867608,0.031806064,0.147477628,0.093000186,0.320333974,0.46500093,0.589001178,1.570669808,2.252671172,3
1101,AL,1,43,144,185,236,370,552,1101,13.3,25,28.4,33.4,Alabama,Montgomery County AL,2,105777,3.1,52711,101.8,2,15.8,23.3,24.3,226486,106394,120092,39387,41035,61404,72952,372,393,3607,3817,102050,116092,36023,38036,4344,4000,3364,2999,33311,64529,99139,0.355085966,0.437726835,0.336002986,0.650894199,0.59321989,0.036841129,0.18985721,0.635800888,0.81682753,1.042007011,1.63365506,2.437236739,1
1113,AL,1,0,1,3,3,19,36,1113,16.2,31.4,34.6,17.8,Alabama,Russell County AL,2,23896,2.9,43670,84.4,2,18.9,25.4,26.2,57961,27767,30194,14195,14751,12317,14047,211,199,183,329,26055,28528,12981,13581,1712,1666,1214,1170,9864,11228,21329,0.499404772,0.36798882,0.462468939,0.526419429,0.454857577,0.058280568,0,0.01725298,0.051758941,0.051758941,0.327806629,0.621107296,2
1117,AL,1,19,32,50,77,160,232,1117,7.3,19.8,29.9,42.9,Alabama,Shelby County AL,1,115939,2.2,77801,150.3,1,6.2,7.7,7,217702,105203,112499,87513,92176,13458,15539,439,425,2202,2722,98734,106333,81563,86528,6469,6166,5950,5648,79700,33268,114950,0.825389753,0.52801536,0.693344933,0.289412788,0.133195837,0.058038052,0.087275266,0.146989922,0.229671753,0.3536945,0.73494961,1.065676935,3
1127,AL,1,2,66,88,111,197,274,1127,18.2,37.5,33,11.3,Alabama,Walker County AL,1,25347,3.3,45991,88.8,1,17.3,23.7,23.4,63521,30982,32539,28171,29589,1845,2089,204,163,174,190,30059,31781,27435,29002,923,758,736,587,26002,4834,31170,0.90930558399999994,0.490703862,0.834199551,0.155085018,0.061932274,0.026463689,0.03148565,1.039026464,1.385368618,1.747453598,3.101336566,4.313534107,3
4001,AZ,4,39,135,165,196,311,417,4001,19.6,32.2,35.9,12.3,Arizona,Apache County AZ,6,20487,9.9,35386,57,6,33.4,44.7,47.6,71887,35482,36405,8245,7768,204,200,26197,27718,174,171,32973,34178,6565,6370,2509,2227,1680,1398,11442,23293,35183,0.222752375,0.489420897,0.325213882,0.662052696,0.005619931,0.065881175,0.542518119,1.877947334,2.295268964,2.726501315,4.326234229,5.800770654,1
4011,AZ,4,0,2,2,3,6,10,4011,11.9,34.7,39.8,13.5,Arizona,Greenlee County AZ,7,4520,3.9,68066,109.7,7,9.3,11.1,10.5,9498,4916,4582,4438,4122,112,90,193,198,30,49,2591,2381,2259,2061,2325,2201,2179,2061,2433,1182,3688,0.901242367,0.388292272,0.659707158,0.320498915,0.021267635,0.476521373,0,0.210570646,0.210570646,0.31585597,0.631711939,1.052853232,3
4023,AZ,4,0,50,63,70,149,173,4023,23.4,28.7,27.5,20.4,Arizona,Santa Cruz County AZ,4,19636,8.5,47779,77,4,18.8,27.8,26.1,46498,22415,24083,21429,22971,236,224,337,333,172,197,3919,3868,3502,3464,18496,20215,17927,19507,6194,13138,19561,0.95487978,0.420684761,0.316650478,0.671642554,0.009892899,0.832530431,0,1.075315067,1.354896985,1.505441094,3.204438901,3.720590133,1
4027,AZ,4,15,254,346,392,697,822,4027,26.7,25.7,32.5,15,Arizona,Yuma County AZ,3,99824,16.4,47024,75.8,3,20.4,29.7,28.6,213787,110106,103681,99824,95209,3597,2049,2601,2271,1534,1754,40111,35545,33836,30617,69995,68136,65988,64592,36534,32210,69926,0.912277173,0.327082563,0.522466608,0.460629809,0.026409464,0.646115058,0.070163293,1.188098434,1.6184333,1.833600733,3.260254365,3.844948477,2
5007,AR,5,2,39,93,160,350,407,5007,11.4,29.2,26.1,33.4,Arkansas,Benton County AR,2,137211,2.6,70775,144.4,2,8.9,12.2,10.9,279141,138868,140273,122143,124842,3059,2694,2591,2626,6331,5297,114492,117019,99468,103190,24376,23254,22675,21652,73965,42249,119912,0.884803737,0.429575018,0.61682734,0.352333378,0.020609656,0.170630613,0.007164838,0.139714338,0.33316496,0.573187027,1.253846622,1.458044501,3
5009,AR,5,0,1,14,44,74,79,5009,12.6,33.4,37.9,16.1,Arkansas,Boone County AR,7,16036,3.2,50083,102.2,7,15.1,18.8,16.1,37432,18447,18985,17661,18263,113,65,164,163,90,128,17967,18477,17257,17821,480,508,404,442,13652,3064,17114,0.959713614,0.457202394,0.797709478,0.179034708,0.00475529,0.026394529,0,0.02671511,0.374011541,1.175464843,1.976918145,2.110493695,3
5023,AR,5,4,5,9,24,60,73,5023,14.1,42.8,27.6,15.5,Arkansas,Cleburne County AR,6,9226,4.5,46214,94.3,6,14.1,21.9,19.9,24919,12241,12678,11819,12229,67,50,91,93,34,98,11963,12345,11594,11951,278,333,225,278,10328,1988,12680,0.965046751,0.50884867,0.814511041,0.156782334,0.004695212,0.024519443,0.160520085,0.200650106,0.361170191,0.96312051,2.407801276,2.929491553,3
5025,AR,5,0,2,12,15,23,25,5025,10.4,46.6,26.8,16.2,Arkansas,Cleveland County AR,3,3219,3.9,53773,109.7,3,13.7,19.8,18.2,7956,3938,4018,3427,3437,434,484,20,21,4,10,3823,3936,3331,3373,115,82,96,64,2867,651,3600,0.862745098,0.45248868799999997,0.796388889,0.180833333,0.115384615,0.024761187,0,0.251382604,1.508295626,1.885369532,2.89089995,3.142282554,3
5039,AR,5,0,0,5,6,12,15,5039,16.1,44.1,28,11.9,Arkansas,Dallas County AR,6,2840,4.7,41314,84.3,6,18.8,31.7,30.3,7009,3466,3543,2009,1952,1357,1482,23,26,8,11,3300,3438,1868,1863,166,105,141,89,1573,963,2649,0.565130546,0.377942645,0.593808985,0.363533409,0.405050649,0.038664574,0,0,0.713368526,0.856042231,1.712084463,2.140105579,3
5047,AR,5,0,2,2,13,30,39,5047,16.3,41,30.6,12.1,Arkansas,Franklin County AR,6,7494,3.4,45670,93.2,2,16.2,23.2,21.3,17715,8837,8878,8301,8418,109,55,136,144,101,89,8535,8606,8040,8180,302,272,261,238,5677,1300,7129,0.943776461,0.402427321,0.79632487,0.182353766,0.009257691,0.032401919,0,0.112898673,0.112898673,0.733841377,1.693480102,2.201524132,3
5053,AR,5,0,0,2,6,28,32,5053,9.2,43.8,28.3,18.7,Arkansas,Grant County AR,2,8403,3.2,58566,119.5,2,12.1,15.6,14.6,18265,9015,9250,8512,8780,263,228,53,36,30,43,8714,8999,8272,8581,301,251,240,199,6794,1268,8200,0.946728716,0.448946072,0.828536585,0.154634146,0.026882015,0.030221736,0,0,0.109499042,0.328497126,1.532986586,1.75198467,3
5057,AR,5,1,2,4,8,14,19,5057,17.4,36.8,30.7,15.1,Arkansas,Hempstead County AR,6,9951,3.8,40867,83.4,6,18.5,26.3,25.5,21532,10429,11103,7019,7137,2997,3560,77,74,43,69,8931,9737,5681,5924,1498,1366,1338,1213,4470,2138,6848,0.657440089,0.318038269,0.652745327,0.312207944,0.3045235,0.133011332,0.046442504,0.092885008,0.185770017,0.371540033,0.650195059,0.882407579,3
5063,AR,5,0,0,21,71,113,121,5063,14,37.6,30.9,17.5,Arkansas,Independence County AR,7,16527,4,47903,97.7,7,15.9,20.1,19.9,37825,18479,19346,17302,18176,495,435,150,165,155,183,17198,18113,16204,17096,1281,1233,1098,1080,11250,2806,14512,0.937951091,0.383661599,0.775220507,0.193357222,0.024586913,0.066463979,0,0,0.555188367,1.877065433,2.987442168,3.198942498,3
5069,AR,5,25,38,80,111,150,167,5069,13.9,38.9,29.3,18,Arkansas,Jefferson County AR,3,27740,5.5,40555,82.7,3,24.4,33.1,29.4,66824,33005,33819,13554,13057,18506,19848,147,137,309,273,32145,33206,12947,12628,860,613,607,429,9521,14981,25158,0.398225189,0.376481504,0.378448207,0.595476588,0.573955465,0.022042979,0.374117084,0.568657967,1.197174668,1.661079852,2.244702502,2.499102119,1
5073,AR,5,1,2,2,3,7,9,5073,20.3,40.2,23.7,15.8,Arkansas,Lafayette County AR,8,2466,4.7,37164,75.8,8,25.5,37.1,34.1,6624,3238,3386,2030,2025,1130,1274,16,20,22,20,3128,3301,1947,1966,110,85,83,59,1757,839,2679,0.612167874,0.404438406,0.655841732,0.313176558,0.362922705,0.029438406,0.150966184,0.301932367,0.301932367,0.452898551,1.056763285,1.358695652,3
5075,AR,5,5,9,12,29,41,43,5075,15.9,38.6,30.1,15.4,Arkansas,Lawrence County AR,6,6817,4.2,39604,80.8,6,18.4,27,26.9,16406,8036,8370,7727,8103,102,97,63,42,22,22,7894,8220,7596,7964,142,150,131,139,4569,1080,5857,0.964890894,0.357003535,0.780092197,0.184394741,0.012129709,0.017798366,0.304766549,0.548579788,0.731439717,1.767645983,2.4990857,2.62099232,3
5085,AR,5,0,2,17,56,103,116,5085,10.9,36.7,31.8,20.6,Arkansas,Lonoke County AR,2,34468,3.2,62782,128.1,2,10.7,14.9,14.6,73309,35960,37349,32383,33436,2253,2399,264,269,239,433,34135,35824,30783,32117,1825,1525,1600,1319,22884,6686,30662,0.897829734,0.418256967,0.746330963,0.218054921,0.06345742,0.045696981,0,0.02728178,0.231895129,0.763889836,1.405011663,1.582343232,3
5101,AR,5,0,3,19,22,26,26,5101,13.5,35.4,30.6,20.5,Arkansas,Newton County AR,9,3335,3.5,37648,76.8,9,18.1,31.1,29.8,7753,3917,3836,3737,3647,20,18,51,48,5,24,3846,3756,3672,3580,71,80,65,67,3192,709,3998,0.95240552,0.515671353,0.7983992,0.177338669,0.004901329,0.019476332,0,0.386946988,2.450664259,2.837611247,3.353540565,3.353540565,3
5105,AR,5,0,0,0,4,7,10,5105,15.2,41.7,30.5,12.7,Arkansas,Perry County AR,2,4275,4.1,50560,103.1,2,16.5,25.1,23.4,10455,5188,5267,4879,5002,123,89,57,46,10,28,4993,5138,4710,4882,195,129,169,120,3479,1012,4627,0.945098039,0.442563367,0.751891074,0.218716231,0.020277379,0.030989957,0,0,0,0.382592061,0.669536107,0.956480153,3
5109,AR,5,0,1,3,3,19,22,5109,12.6,38.1,32,17.3,Arkansas,Pike County AR,9,4250,3.9,44426,90.6,9,16.9,23.9,22,10718,5338,5380,4899,5017,205,166,75,52,44,41,4968,5044,4598,4732,370,336,301,285,3519,644,4246,0.925172607,0.396155999,0.828780028,0.151672162,0.034614667,0.065870498,0,0.093300989,0.279902967,0.279902967,1.772718791,2.052621758,3
5111,AR,5,2,3,14,43,72,76,5111,19.7,43.1,26.2,11.1,Arkansas,Poinsett County AR,3,10279,3.4,40536,82.7,3,23.1,32.9,30,23528,11379,12149,10136,10830,933,1025,54,47,38,43,10957,11789,9777,10514,422,360,359,316,5918,1424,7521,0.891108467,0.31966168,0.786863449,0.189336524,0.083219993,0.033236994,0.0850051,0.12750765,0.595035702,1.827609657,3.060183611,3.230193812,3
5113,AR,5,0,1,4,11,56,71,5113,15.1,36.5,34.3,14.1,Arkansas,Polk County AR,7,8121,4.2,39722,81,7,20.2,28.9,24.2,19964,9747,10217,9140,9584,73,51,216,204,59,132,9058,9592,8506,9019,689,625,634,565,7035,1246,8490,0.937888199,0.425265478,0.828621908,0.146760895,0.00621118,0.065818473,0,0.050090162,0.200360649,0.550991785,2.805049088,3.556401523,3
5125,AR,5,1,4,23,57,149,165,5125,9.4,31.4,32.6,26.7,Arkansas,Saline County AR,2,59114,2.8,66944,136.6,2,9.6,14.9,13.4,122437,59792,62645,52792,54874,4849,5472,423,372,714,930,56577,59568,49962,52155,3215,3077,2830,2719,39556,16060,56959,0.879358364,0.46521068,0.694464439,0.281957197,0.084296414,0.051389694,0.008167466,0.032669863,0.187851711,0.465545546,1.216952392,1.347631843,3
5127,AR,5,0,0,1,3,14,14,5127,20.9,40.8,29.1,9.3,Arkansas,Scott County AR,6,4314,3.4,38065,77.7,6,19.6,29.8,27.1,10281,5210,5071,4759,4611,39,29,131,139,154,164,4750,4715,4349,4310,460,356,410,301,2962,483,3551,0.911389943,0.345394417,0.834131231,0.136018023,0.006614143,0.079369711,0,0,0.097266803,0.291800409,1.36173524,1.36173524,3
5133,AR,5,2,10,18,18,25,29,5133,23.5,37.5,26.3,12.8,Arkansas,Sevier County AR,6,5513,4.8,43493,88.7,7,17.7,25,23.7,17007,8514,8493,7476,7451,362,352,298,312,44,57,5454,5724,4635,4890,3060,2769,2841,2561,3884,1116,5202,0.877697419,0.305874052,0.746635909,0.214532872,0.041982713,0.342741224,0.117598636,0.587993179,1.058387723,1.058387723,1.469982948,1.70518022,3
5143,AR,5,7,46,118,178,307,344,5143,15,25.7,26,33.3,Arkansas,Washington County AR,2,124967,2.4,52158,106.4,2,15.1,16,15.3,239187,119577,119610,102626,103809,4869,4105,1836,1922,3161,3136,98577,99611,83206,85282,21000,19999,19420,18527,47504,43824,94266,0.863069481,0.394110048,0.503935671,0.464897206,0.037518761,0.171409817,0.029265805,0.192318144,0.493337849,0.744187602,1.283514572,1.438205254,2
5145,AR,5,1,2,29,51,90,116,5145,15.6,39.3,24.2,20.9,Arkansas,White County AR,4,33800,4.5,46388,94.6,4,15.4,20.4,18.9,78753,38358,40395,35086,37119,1835,1805,267,287,348,337,36525,38727,33450,35644,1833,1668,1636,1475,24182,5978,30885,0.916853961,0.392175536,0.782969079,0.193556743,0.046220461,0.044455449,0.012697929,0.025395858,0.36823994,0.647594377,1.142813607,1.47295976,3
6001,CA,6,96,189,420,514,980,1215,6001,11.6,17.6,23.5,47.4,California,Alameda County CA,1,844346,2.9,107589,133.8,1,8.9,9.8,9.2,1671329,823247,848082,414416,409177,88167,96201,9048,8749,259991,280400,634636,663638,256400,255734,188611,184444,158016,153443,136309,617659,769864,0.492777305,0.460629834,0.177055948,0.80229625,0.110312213,0.223208596,0.057439319,0.11308366,0.251297022,0.307539688,0.586359717,0.726966384,1
6003,CA,6,0,0,0,0,0,0,6003,8.8,28.1,28.6,34.5,California,Alpine County CA,8,551,5.1,58112,72.3,8,17.2,29.6,25.5,1129,609,520,424,343,0,4,146,144,11,7,534,456,384,308,75,64,40,35,244,476,741,0.679362267,0.656333038,0.32928475,0.642375169,0.003542958,0.123117803,0,0,0,0,0,0,1
6013,CA,6,37,121,209,261,529,769,6013,10.5,17.3,29.9,42.4,California,Contra Costa County CA,1,561757,3.1,106555,132.5,1,7.9,9.9,9.3,1153526,564187,589339,372197,379086,52267,57797,5984,5725,99630,111488,414051,439055,242832,249561,150136,150284,129365,129525,152877,416386,581230,0.651292645,0.503872474,0.263023244,0.716387661,0.095415275,0.260436262,0.032075567,0.104895772,0.181183606,0.22626278,0.458593911,0.66665164,1
6023,CA,6,3,4,8,9,30,35,6023,9.5,22.2,37.9,30.4,California,Humboldt County CA,5,62507,3.6,51134,63.6,5,19.1,20.5,20.8,135558,67241,68317,56089,56741,1161,857,4159,4478,1852,2078,59034,60170,49726,50352,8207,8147,6363,6389,21770,44768,68828,0.83233745,0.507738385,0.316295694,0.650432963,0.014886617,0.120642087,0.022130748,0.029507665,0.059015329,0.066392245,0.221307485,0.258192065,1
6039,CA,6,2,30,58,86,175,229,6039,28.1,24.9,32.5,14.6,California,Madera County CA,3,61945,6.9,61105,76,3,17.6,26.1,24.4,157327,75885,81442,65900,69283,2268,4287,3462,3520,1955,2063,29763,35081,24575,27622,46122,46361,41325,41661,29378,23168,53722,0.859248571,0.341467135,0.546852314,0.431257213,0.041664813,0.587839341,0.012712376,0.190685642,0.368658908,0.546632174,1.112332912,1.455567067,2
6041,CA,6,14,70,117,129,172,221,6041,6.7,10.5,23.3,59.5,California,Marin County CA,1,139979,2.3,112069,139.3,1,6.9,7.2,6.2,258826,126617,132209,107935,112886,4630,2725,1490,1062,7237,9851,104839,111827,89165,94951,21778,20382,18770,17935,24612,128288,155801,0.853163902,0.601952663,0.157970745,0.823409349,0.028416774,0.162889354,0.054090393,0.270451964,0.45204114,0.498404333,0.664539111,0.853855486,1
6043,CA,6,1,2,2,3,5,5,6043,9.4,24.4,41.7,24.6,California,Mariposa County CA,8,7612,4.6,52760,65.6,8,15.1,21.9,22,17203,8764,8439,7801,7563,120,107,332,276,140,143,7706,7424,6923,6722,1058,1015,878,841,5950,4088,10280,0.893100041,0.597570191,0.578793774,0.39766537,0.013195373,0.120502238,0.058129396,0.116258792,0.116258792,0.174388188,0.29064698,0.29064698,3
